team_api_id,team_fifa_api_id_x,team_long_name,date,buildUpPlaySpeed,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting
8342,231.0,Club Brugge KV,2014-09-19 00:00:00,42.0,42.0,57.0,47.0
8342,231.0,Club Brugge KV,2015-09-10 00:00:00,42.0,42.0,57.0,47.0
9999,546.0,KSV Roeselare,2010-02-22 00:00:00,65.0,50.0,35.0,40.0
8571,100081.0,KV Kortrijk,2010-02-22 00:00:00,50.0,50.0,50.0,50.0
8571,100081.0,KV Kortrijk,2011-02-22 00:00:00,38.0,38.0,69.0,52.0
8571,100081.0,KV Kortrijk,2012-02-22 00:00:00,31.0,37.0,67.0,50.0
8571,100081.0,KV Kortrijk,2013-09-20 00:00:00,42.0,37.0,67.0,30.0
8571,100081.0,KV Kortrijk,2014-09-19 00:00:00,42.0,37.0,67.0,30.0
8571,100081.0,KV Kortrijk,2015-09-10 00:00:00,42.0,37.0,67.0,30.0
4049,,Tubize,,,,,
9996,111560.0,Royal Excel Mouscron,2015-09-10 00:00:00,50.0,50.0,50.0,50.0
9996,111560.0,Royal Excel Mouscron,2015-09-10 00:00:00,50.0,50.0,50.0,50.0
10001,681.0,KVC Westerlo,2010-02-22 00:00:00,45.0,40.0,45.0,55.0
10001,681.0,KVC Westerlo,2011-02-22 00:00:00,34.0,66.0,48.0,53.0
10001,681.0,KVC Westerlo,2012-02-22 00:00:00,52.0,59.0,60.0,32.0
10001,681.0,KVC Westerlo,2015-09-10 00:00:00,52.0,57.0,55.0,32.0
9986,670.0,Sporting Charleroi,2010-02-22 00:00:00,40.0,45.0,43.0,60.0
9986,670.0,Sporting Charleroi,2011-02-22 00:00:00,47.0,34.0,33.0,53.0
9986,670.0,Sporting Charleroi,2013-09-20 00:00:00,60.0,48.0,50.0,48.0
9986,670.0,Sporting Charleroi,2014-09-19 00:00:00,60.0,48.0,50.0,48.0
9986,670.0,Sporting Charleroi,2015-09-10 00:00:00,60.0,48.0,50.0,48.0
9997,680.0,Sint-Truidense VV,2010-02-22 00:00:00,50.0,50.0,50.0,50.0
9997,680.0,Sint-Truidense VV,2011-02-22 00:00:00,53.0,48.0,52.0,53.0
9997,680.0,Sint-Truidense VV,2012-02-22 00:00:00,52.0,52.0,55.0,47.0
9989,239.0,Lierse SK,2011-02-22 00:00:00,48.0,55.0,45.0,50.0
9989,239.0,Lierse SK,2012-02-22 00:00:00,69.0,56.0,52.0,61.0
9989,239.0,Lierse SK,2013-09-20 00:00:00,69.0,56.0,52.0,61.0
9989,239.0,Lierse SK,2014-09-19 00:00:00,69.0,56.0,52.0,61.0
9989,239.0,Lierse SK,2015-09-10 00:00:00,69.0,56.0,52.0,61.0
6351,2013.0,KAS Eupen,2011-02-22 00:00:00,50.0,50.0,55.0,55.0
1773,100087.0,Oud-Heverlee Leuven,2012-02-22 00:00:00,52.0,50.0,53.0,54.0
1773,100087.0,Oud-Heverlee Leuven,2013-09-20 00:00:00,52.0,50.0,53.0,54.0
1773,100087.0,Oud-Heverlee Leuven,2014-09-19 00:00:00,52.0,50.0,53.0,54.0
8475,110913.0,Waasland-Beveren,2013-09-20 00:00:00,62.0,50.0,30.0,54.0
8475,110913.0,Waasland-Beveren,2014-09-19 00:00:00,38.0,29.0,30.0,39.0
8475,110913.0,Waasland-Beveren,2015-09-10 00:00:00,38.0,45.0,42.0,53.0
8573,682.0,KV Oostende,2014-09-19 00:00:00,52.0,45.0,42.0,53.0
8573,682.0,KV Oostende,2015-09-10 00:00:00,52.0,45.0,42.0,53.0
274581,111560.0,Royal Excel Mouscron,2015-09-10 00:00:00,50.0,50.0,50.0,50.0
10260,11.0,Manchester United,2010-02-22 00:00:00,70.0,45.0,70.0,65.0
10260,11.0,Manchester United,2011-02-22 00:00:00,65.0,65.0,65.0,70.0
10260,11.0,Manchester United,2012-02-22 00:00:00,46.0,46.0,60.0,55.0
10260,11.0,Manchester United,2013-09-20 00:00:00,46.0,46.0,68.0,37.0
10260,11.0,Manchester United,2014-09-19 00:00:00,46.0,49.0,72.0,56.0
10260,11.0,Manchester United,2015-09-10 00:00:00,38.0,49.0,44.0,40.0
10261,13.0,Newcastle United,2010-02-22 00:00:00,70.0,65.0,70.0,60.0
10261,13.0,Newcastle United,2011-02-22 00:00:00,55.0,60.0,50.0,60.0
10261,13.0,Newcastle United,2012-02-22 00:00:00,54.0,54.0,68.0,48.0
10261,13.0,Newcastle United,2013-09-20 00:00:00,58.0,48.0,51.0,46.0
10261,13.0,Newcastle United,2014-09-19 00:00:00,54.0,47.0,51.0,39.0
10261,13.0,Newcastle United,2015-09-10 00:00:00,58.0,47.0,54.0,46.0
9825,1.0,Arsenal,2010-02-22 00:00:00,66.0,30.0,45.0,35.0
9825,1.0,Arsenal,2011-02-22 00:00:00,75.0,40.0,45.0,65.0
9825,1.0,Arsenal,2012-02-22 00:00:00,25.0,41.0,34.0,30.0
9825,1.0,Arsenal,2013-09-20 00:00:00,30.0,41.0,55.0,39.0
9825,1.0,Arsenal,2014-09-19 00:00:00,59.0,28.0,55.0,64.0
9825,1.0,Arsenal,2015-09-10 00:00:00,59.0,28.0,44.0,46.0
8659,109.0,West Bromwich Albion,2010-02-22 00:00:00,65.0,70.0,70.0,55.0
8659,109.0,West Bromwich Albion,2011-02-22 00:00:00,60.0,40.0,50.0,45.0
8659,109.0,West Bromwich Albion,2012-02-22 00:00:00,48.0,45.0,60.0,54.0
8659,109.0,West Bromwich Albion,2013-09-20 00:00:00,55.0,57.0,53.0,57.0
8659,109.0,West Bromwich Albion,2014-09-19 00:00:00,55.0,53.0,53.0,57.0
8659,109.0,West Bromwich Albion,2015-09-10 00:00:00,62.0,53.0,50.0,60.0
8472,106.0,Sunderland,2010-02-22 00:00:00,60.0,70.0,70.0,55.0
8472,106.0,Sunderland,2011-02-22 00:00:00,55.0,55.0,65.0,55.0
8472,106.0,Sunderland,2012-02-22 00:00:00,67.0,44.0,72.0,59.0
8472,106.0,Sunderland,2013-09-20 00:00:00,57.0,56.0,31.0,72.0
8472,106.0,Sunderland,2014-09-19 00:00:00,60.0,56.0,44.0,58.0
8472,106.0,Sunderland,2015-09-10 00:00:00,43.0,59.0,50.0,55.0
8650,9.0,Liverpool,2010-02-22 00:00:00,50.0,50.0,60.0,70.0
8650,9.0,Liverpool,2011-02-22 00:00:00,60.0,40.0,45.0,60.0
8650,9.0,Liverpool,2012-02-22 00:00:00,60.0,48.0,73.0,53.0
8650,9.0,Liverpool,2013-09-20 00:00:00,39.0,42.0,34.0,54.0
8650,9.0,Liverpool,2014-09-19 00:00:00,71.0,34.0,41.0,61.0
8650,9.0,Liverpool,2015-09-10 00:00:00,66.0,34.0,34.0,46.0
8654,19.0,West Ham United,2010-02-22 00:00:00,58.0,31.0,70.0,50.0
8654,19.0,West Ham United,2011-02-22 00:00:00,35.0,30.0,45.0,45.0
8654,19.0,West Ham United,2012-02-22 00:00:00,63.0,44.0,60.0,55.0
8654,19.0,West Ham United,2013-09-20 00:00:00,72.0,61.0,74.0,32.0
8654,19.0,West Ham United,2014-09-19 00:00:00,72.0,68.0,71.0,32.0
8654,19.0,West Ham United,2015-09-10 00:00:00,77.0,68.0,73.0,29.0
8528,1917.0,Wigan Athletic,2010-02-22 00:00:00,70.0,70.0,70.0,50.0
8528,1917.0,Wigan Athletic,2011-02-22 00:00:00,35.0,45.0,65.0,50.0
8528,1917.0,Wigan Athletic,2012-02-22 00:00:00,38.0,54.0,42.0,42.0
8528,1917.0,Wigan Athletic,2013-09-20 00:00:00,38.0,43.0,42.0,34.0
8528,1917.0,Wigan Athletic,2014-09-19 00:00:00,51.0,52.0,55.0,57.0
8528,1917.0,Wigan Athletic,2015-09-10 00:00:00,51.0,52.0,59.0,40.0
10252,2.0,Aston Villa,2010-02-22 00:00:00,70.0,65.0,70.0,50.0
10252,2.0,Aston Villa,2011-02-22 00:00:00,65.0,45.0,55.0,50.0
10252,2.0,Aston Villa,2012-02-22 00:00:00,67.0,44.0,60.0,56.0
10252,2.0,Aston Villa,2013-09-20 00:00:00,63.0,52.0,55.0,34.0
10252,2.0,Aston Villa,2014-09-19 00:00:00,66.0,63.0,48.0,56.0
10252,2.0,Aston Villa,2015-09-10 00:00:00,63.0,60.0,48.0,38.0
8456,10.0,Manchester City,2010-02-22 00:00:00,70.0,55.0,70.0,70.0
8456,10.0,Manchester City,2011-02-22 00:00:00,70.0,70.0,65.0,75.0
8456,10.0,Manchester City,2012-02-22 00:00:00,45.0,40.0,38.0,48.0
8456,10.0,Manchester City,2013-09-20 00:00:00,36.0,39.0,44.0,38.0
8456,10.0,Manchester City,2014-09-19 00:00:00,59.0,32.0,49.0,62.0
8456,10.0,Manchester City,2015-09-10 00:00:00,59.0,38.0,36.0,24.0
8668,7.0,Everton,2010-02-22 00:00:00,60.0,60.0,70.0,45.0
8668,7.0,Everton,2011-02-22 00:00:00,60.0,55.0,70.0,55.0
8668,7.0,Everton,2012-02-22 00:00:00,56.0,48.0,57.0,56.0
8668,7.0,Everton,2013-09-20 00:00:00,58.0,48.0,59.0,32.0
8668,7.0,Everton,2014-09-19 00:00:00,61.0,39.0,59.0,48.0
8668,7.0,Everton,2015-09-10 00:00:00,43.0,39.0,33.0,63.0
8655,3.0,Blackburn Rovers,2010-02-22 00:00:00,55.0,60.0,70.0,55.0
8655,3.0,Blackburn Rovers,2011-02-22 00:00:00,55.0,50.0,50.0,35.0
8655,3.0,Blackburn Rovers,2012-02-22 00:00:00,57.0,55.0,45.0,40.0
8655,3.0,Blackburn Rovers,2013-09-20 00:00:00,44.0,55.0,52.0,40.0
8655,3.0,Blackburn Rovers,2014-09-19 00:00:00,44.0,63.0,61.0,40.0
8655,3.0,Blackburn Rovers,2015-09-10 00:00:00,60.0,59.0,58.0,42.0
8549,12.0,Middlesbrough,2010-02-22 00:00:00,70.0,70.0,70.0,50.0
8549,12.0,Middlesbrough,2011-02-22 00:00:00,66.0,64.0,64.0,48.0
8549,12.0,Middlesbrough,2012-02-22 00:00:00,60.0,40.0,56.0,72.0
8549,12.0,Middlesbrough,2013-09-20 00:00:00,60.0,40.0,56.0,57.0
8549,12.0,Middlesbrough,2014-09-19 00:00:00,60.0,49.0,56.0,72.0
8549,12.0,Middlesbrough,2015-09-10 00:00:00,60.0,43.0,55.0,37.0
8586,18.0,Tottenham Hotspur,2010-02-22 00:00:00,70.0,50.0,65.0,50.0
8586,18.0,Tottenham Hotspur,2011-02-22 00:00:00,60.0,70.0,70.0,70.0
8586,18.0,Tottenham Hotspur,2012-02-22 00:00:00,44.0,52.0,63.0,61.0
8586,18.0,Tottenham Hotspur,2013-09-20 00:00:00,42.0,45.0,58.0,68.0
8586,18.0,Tottenham Hotspur,2014-09-19 00:00:00,41.0,41.0,59.0,62.0
8586,18.0,Tottenham Hotspur,2015-09-10 00:00:00,47.0,41.0,41.0,63.0
8559,4.0,Bolton Wanderers,2010-02-22 00:00:00,55.0,70.0,70.0,45.0
8559,4.0,Bolton Wanderers,2011-02-22 00:00:00,45.0,55.0,70.0,50.0
8559,4.0,Bolton Wanderers,2012-02-22 00:00:00,57.0,45.0,54.0,54.0
8559,4.0,Bolton Wanderers,2013-09-20 00:00:00,57.0,42.0,38.0,54.0
8559,4.0,Bolton Wanderers,2014-09-19 00:00:00,57.0,72.0,43.0,56.0
8559,4.0,Bolton Wanderers,2015-09-10 00:00:00,57.0,72.0,60.0,38.0
10194,1806.0,Stoke City,2010-02-22 00:00:00,65.0,70.0,70.0,55.0
10194,1806.0,Stoke City,2011-02-22 00:00:00,50.0,30.0,70.0,35.0
10194,1806.0,Stoke City,2012-02-22 00:00:00,75.0,40.0,72.0,55.0
10194,1806.0,Stoke City,2013-09-20 00:00:00,75.0,59.0,61.0,38.0
10194,1806.0,Stoke City,2014-09-19 00:00:00,48.0,51.0,57.0,37.0
10194,1806.0,Stoke City,2015-09-10 00:00:00,48.0,51.0,59.0,49.0
8667,1952.0,Hull City,2010-02-22 00:00:00,65.0,70.0,70.0,55.0
8667,1952.0,Hull City,2011-02-22 00:00:00,49.0,64.0,64.0,37.0
8667,1952.0,Hull City,2012-02-22 00:00:00,61.0,38.0,60.0,54.0
8667,1952.0,Hull City,2013-09-20 00:00:00,63.0,38.0,60.0,54.0
8667,1952.0,Hull City,2014-09-19 00:00:00,56.0,54.0,60.0,48.0
8667,1952.0,Hull City,2015-09-10 00:00:00,56.0,54.0,49.0,56.0
9879,144.0,Fulham,2010-02-22 00:00:00,60.0,70.0,70.0,50.0
9879,144.0,Fulham,2011-02-22 00:00:00,50.0,45.0,55.0,40.0
9879,144.0,Fulham,2012-02-22 00:00:00,48.0,38.0,62.0,54.0
9879,144.0,Fulham,2013-09-20 00:00:00,52.0,49.0,56.0,59.0
9879,144.0,Fulham,2014-09-19 00:00:00,52.0,58.0,41.0,54.0
9879,144.0,Fulham,2015-09-10 00:00:00,52.0,39.0,54.0,59.0
8455,5.0,Chelsea,2010-02-22 00:00:00,70.0,56.0,70.0,70.0
8455,5.0,Chelsea,2011-02-22 00:00:00,60.0,60.0,60.0,80.0
8455,5.0,Chelsea,2012-02-22 00:00:00,60.0,55.0,45.0,45.0
8455,5.0,Chelsea,2013-09-20 00:00:00,46.0,46.0,61.0,63.0
8455,5.0,Chelsea,2014-09-19 00:00:00,67.0,41.0,61.0,68.0
8455,5.0,Chelsea,2015-09-10 00:00:00,67.0,41.0,34.0,44.0
8462,1790.0,Portsmouth,2010-02-22 00:00:00,70.0,70.0,70.0,55.0
